customer_id	cohort_month	lifetime_orders	lifetime_revenue	active_months
12901	2011-03-01	28	17654.54	10
17377	2009-12-01	78	17639.23	20
14952	2009-12-01	32	17629.35	15
16652	2010-03-01	16	17550.39	10
15189	2010-07-01	46	17524.38	16
18172	2009-12-01	52	17467.24	19
12357	2010-11-01	2	17437.66	2
16019	2009-12-01	27	17329.16	15
17416	2009-12-01	22	17298.45	13
15078	2009-12-01	52	17276.73	23
15523	2009-12-01	16	17259.19	11
13027	2010-01-01	19	17239.20	14
15808	2009-12-01	21	17180.25	14
15125	2010-03-01	24	17024.87	13
16656	2009-12-01	30	16833.17	21
12433	2010-08-01	10	16794.14	8
17735	2010-07-01	26	16790.33	17
14277	2009-12-01	8	16789.16	6
16553	2010-02-01	33	16584.01	12
12454	2010-10-01	4	16459.78	3
15358	2009-12-01	42	16425.86	24
14961	2009-12-01	22	16410.15	12
13225	2009-12-01	16	16260.07	14
16180	2010-06-01	13	16249.87	8
12980	2009-12-01	21	16245.78	18
17107	2010-01-01	10	16052.72	9
17716	2009-12-01	24	15956.97	15
13199	2009-12-01	66	15949.21	25
13564	2009-12-01	36	15880.22	13
15044	2009-12-01	32	15769.01	20
12971	2009-12-01	116	15704.60	24
16191	2009-12-01	24	15677.82	11
12949	2009-12-01	22	15526.70	13
14769	2009-12-01	17	15512.46	15
14849	2010-01-01	43	15407.61	21
15768	2009-12-01	34	15308.89	12
12472	2009-12-01	19	14971.29	16
18092	2009-12-01	18	14693.72	13
16126	2009-12-01	15	14644.60	14
17133	2010-03-01	12	14622.33	10
16873	2010-02-01	12	14617.39	11
14543	2009-12-01	39	14548.22	21
17448	2010-03-01	41	14448.67	4
15482	2009-12-01	18	14377.36	10
14733	2010-11-01	15	14335.15	10
13488	2010-01-01	23	14205.96	16
15601	2009-12-01	30	14191.74	19
16713	2009-12-01	32	14115.56	19
12647	2010-01-01	35	14109.55	19
14299	2009-12-01	27	14070.25	17
13178	2009-12-01	21	14059.19	18
18223	2009-12-01	26	14000.85	19
12435	2009-12-01	6	13925.93	6
18087	2009-12-01	16	13908.72	9
17589	2010-03-01	18	13806.27	11
15005	2009-12-01	56	13752.58	24
15382	2009-12-01	12	13733.55	10
15093	2009-12-01	23	13702.38	17
12989	2009-12-01	33	13551.75	20
15291	2009-12-01	39	13472.76	17
13629	2010-02-01	19	13370.86	16
16558	2009-12-01	38	13304.11	22
12744	2010-04-01	8	13158.16	6
16923	2010-01-01	32	13157.13	18
13090	2010-08-01	23	13076.74	13
15738	2009-12-01	41	13043.32	23
14049	2010-04-01	13	13023.40	10
13097	2009-12-01	27	13015.36	18
18225	2009-12-01	26	13014.80	20
14110	2009-12-01	33	12987.95	18
13969	2010-03-01	35	12973.46	20
13668	2009-12-01	35	12948.48	21
13316	2010-03-01	10	12940.82	9
13952	2009-12-01	14	12823.52	10
12714	2009-12-01	12	12815.71	12
13468	2009-12-01	72	12793.28	25
16549	2010-03-01	34	12781.80	14
12451	2010-06-01	8	12629.88	6
16161	2010-02-01	43	12580.06	21
17017	2009-12-01	29	12576.99	15
14040	2009-12-01	35	12523.81	20
17858	2009-12-01	30	12518.65	18
12583	2009-12-01	27	12493.58	22
14936	2010-05-01	12	12410.81	8
16000	2011-12-01	3	12393.70	1
12476	2010-07-01	18	12319.91	13
14735	2009-12-01	55	12225.16	24
15144	2009-12-01	29	12160.31	17
15465	2009-12-01	32	12100.40	18
15194	2009-12-01	28	12021.53	17
14415	2009-12-01	23	11980.09	21
17364	2009-12-01	28	11972.92	17
17044	2009-12-01	12	11962.30	8
13458	2010-11-01	16	11959.27	12
13854	2010-01-01	39	11944.56	21
16258	2010-03-01	15	11942.52	12
16523	2010-01-01	28	11916.33	16
16814	2010-04-01	36	11914.95	19
13687	2010-09-01	1	11880.84	1
17338	2010-03-01	17	11880.54	16
18226	2010-03-01	26	11878.88	16
13050	2009-12-01	34	11877.29	21
14505	2009-12-01	19	11873.08	13
14426	2010-03-01	17	11727.94	11
13004	2009-12-01	36	11650.85	22
14739	2009-12-01	25	11573.62	17
13418	2009-12-01	31	11559.66	17
15023	2010-02-01	20	11555.50	16
15218	2010-01-01	22	11453.83	17
13680	2009-12-01	12	11419.67	9
14016	2010-01-01	11	11403.41	11
13102	2010-05-01	37	11380.10	19
12474	2010-02-01	29	11310.75	17
15874	2010-01-01	21	11284.76	14
12437	2009-12-01	38	11282.40	20
15555	2009-12-01	36	11233.78	19
13576	2009-12-01	28	11202.59	21
12539	2009-12-01	7	11186.75	5
14134	2009-12-01	15	11123.35	9
12705	2010-06-01	13	11114.10	11
13013	2009-12-01	29	11097.43	18
12481	2010-04-01	14	11033.51	11
15032	2009-12-01	8	11010.05	7
14045	2010-01-01	16	10986.63	10
16985	2009-12-01	23	10923.16	15
18052	2010-05-01	1	10877.18	1
12567	2010-02-01	15	10741.48	12
16033	2010-08-01	27	10608.81	16
13324	2010-05-01	18	10513.47	11
15290	2010-02-01	26	10496.28	19
12683	2009-12-01	20	10445.70	13
14028	2010-06-01	3	10396.50	1
16168	2009-12-01	66	10360.67	22
16984	2010-03-01	9	10350.53	8
15296	2010-01-01	12	10323.03	9
14422	2009-12-01	19	10271.52	17
17160	2009-12-01	17	10209.16	14
15719	2009-12-01	31	10194.32	23
14796	2009-12-01	27	10167.77	20
18229	2009-12-01	28	10150.51	19
15805	2009-12-01	30	10148.93	16
18055	2010-10-01	14	10142.64	9
16327	2009-12-01	16	10129.04	15
12431	2010-01-01	25	10102.22	16
17809	2009-12-01	20	10085.89	14
13941	2009-12-01	15	10027.18	12
13985	2010-02-01	22	10020.86	14
15547	2009-12-01	26	10002.65	18
14755	2009-12-01	25	9972.55	20
16182	2010-03-01	9	9971.65	9
15694	2009-12-01	23	9963.48	16
14101	2010-03-01	13	9961.93	12
16131	2009-12-01	12	9957.42	8
18260	2009-12-01	23	9947.26	15
17049	2010-03-01	19	9942.53	12
16701	2009-12-01	26	9916.73	19
12668	2010-01-01	9	9906.03	9
12758	2009-12-01	7	9903.24	7
14329	2009-12-01	15	9887.62	14
14828	2009-12-01	13	9839.46	11
13599	2009-12-01	33	9811.04	16
16353	2009-12-01	38	9795.46	18
12524	2010-02-01	17	9794.11	13
14944	2010-02-01	19	9784.67	11
17306	2010-11-01	21	9782.35	11
13018	2010-03-01	35	9763.16	14
13735	2009-12-01	13	9762.77	11
14085	2009-12-01	32	9705.67	18
12839	2009-12-01	26	9669.12	19
16782	2009-12-01	38	9636.12	19
17315	2010-09-01	41	9559.50	15
18109	2010-07-01	38	9555.71	18
15502	2010-06-01	12	9542.92	7
14091	2010-01-01	2	9530.08	2
17811	2010-09-01	47	9513.10	14
13999	2009-12-01	29	9502.26	21
17504	2010-02-01	18	9490.17	10
14063	2009-12-01	7	9471.50	2
14146	2010-01-01	12	9450.30	9
14439	2010-01-01	5	9443.04	4
13267	2009-12-01	36	9429.81	19
17230	2009-12-01	18	9388.49	9
15727	2010-01-01	15	9371.71	13
15981	2010-03-01	21	9362.77	16
12590	2011-05-01	1	9341.26	1
13069	2010-06-01	38	9284.45	19
13162	2009-12-01	16	9275.49	13
15249	2010-03-01	18	9266.00	13
14367	2011-03-01	16	9227.82	9
14292	2010-03-01	16	9226.25	11
13327	2009-12-01	20	9134.48	18
17757	2010-01-01	56	9070.10	24
15298	2009-12-01	23	9061.77	19
16709	2009-12-01	14	9056.01	11
15939	2010-11-01	15	9004.84	10
17068	2010-03-01	47	8980.18	20
15150	2010-06-01	13	8977.94	8
15903	2010-01-01	12	8939.84	8
12747	2009-12-01	26	8898.48	18
14060	2010-03-01	30	8898.24	19
13555	2010-01-01	13	8891.84	9
14709	2009-12-01	25	8886.33	20
12359	2009-12-01	10	8873.39	8
15867	2009-12-01	31	8869.87	22
14135	2009-12-01	24	8839.67	15
16700	2009-12-01	25	8830.77	21
16550	2009-12-01	18	8807.68	15
15260	2009-12-01	25	8767.73	16
12490	2009-12-01	20	8764.64	17
16532	2010-03-01	5	8756.64	5
15570	2010-03-01	25	8736.49	15
16186	2009-12-01	26	8718.43	18
12957	2009-12-01	13	8706.97	10
17576	2009-12-01	41	8705.60	25
15497	2009-12-01	9	8657.39	9
13756	2009-12-01	23	8655.95	17
13263	2010-10-01	38	8650.98	13
13758	2009-12-01	14	8595.29	10
16945	2009-12-01	33	8548.16	19
15281	2010-10-01	16	8543.57	8
13269	2009-12-01	28	8537.32	17
15270	2009-12-01	21	8524.86	9
12798	2010-10-01	4	8510.93	4
13209	2010-01-01	13	8509.51	10
15786	2010-06-01	5	8501.62	4
13148	2009-12-01	26	8488.32	15
14286	2009-12-01	7	8479.76	6
18139	2011-11-01	6	8438.34	1
13047	2009-12-01	23	8423.58	16
14160	2010-01-01	7	8421.47	4
15984	2009-12-01	30	8393.02	19
17396	2010-09-01	13	8391.60	5
13448	2009-12-01	12	8386.22	9
14676	2010-03-01	12	8356.79	9
14057	2009-12-01	22	8346.66	16
13206	2009-12-01	13	8308.19	7
17686	2010-06-01	9	8296.81	7
17611	2009-12-01	28	8287.53	21
15998	2009-12-01	16	8274.14	14
15034	2010-05-01	14	8231.20	11
13381	2009-12-01	12	8224.37	12
13139	2010-09-01	8	8202.98	6
16722	2009-12-01	22	8189.56	19
17365	2010-02-01	15	8179.45	13
13426	2009-12-01	22	8167.38	18
13715	2010-03-01	17	8153.04	11
14056	2011-02-01	23	8152.71	11
12766	2010-10-01	9	8134.99	9
16672	2011-03-01	20	8134.94	9
17593	2009-12-01	11	8092.32	9
15955	2010-02-01	22	8085.98	13
12637	2010-06-01	12	8085.81	9
17426	2010-02-01	13	8077.77	7
16767	2010-04-01	15	8052.41	12
16670	2009-12-01	20	8030.15	15
18041	2010-01-01	38	8018.77	20
14525	2009-12-01	17	8018.59	16
16556	2009-12-01	17	8012.58	16
13869	2010-01-01	10	7996.87	10
13174	2009-12-01	11	7972.46	10
16303	2010-03-01	7	7928.27	7
14291	2009-12-01	23	7904.10	13
13871	2009-12-01	17	7885.85	14
15622	2010-03-01	17	7852.61	10
14159	2009-12-01	20	7849.58	14
17085	2009-12-01	28	7839.27	15
12867	2009-12-01	13	7829.26	13
16592	2009-12-01	28	7807.91	16
15544	2010-01-01	20	7807.89	14
12643	2010-04-01	11	7803.82	9
14395	2010-04-01	20	7801.93	15
17409	2009-12-01	10	7793.51	7
17730	2010-04-01	20	7773.80	16
17739	2009-12-01	18	7730.59	15
13534	2010-07-01	35	7720.90	17
17696	2009-12-01	27	7679.59	16
14175	2010-03-01	8	7678.88	8
13141	2009-12-01	17	7656.08	12
15046	2010-01-01	25	7604.84	18
14145	2010-04-01	7	7600.05	6
13373	2009-12-01	6	7587.19	6
13137	2010-07-01	16	7586.94	11
13709	2010-01-01	18	7571.35	10
14030	2009-12-01	20	7521.80	12
17091	2009-12-01	19	7495.75	16
15179	2009-12-01	13	7491.92	12
16570	2010-03-01	20	7434.31	13
16242	2010-03-01	14	7404.65	12
17602	2010-03-01	14	7354.43	11
13082	2009-12-01	21	7335.75	14
17238	2009-12-01	32	7331.17	18
16253	2009-12-01	7	7272.20	6
14282	2010-02-01	25	7250.76	15
14092	2009-12-01	24	7229.45	20
14243	2010-08-01	17	7217.75	13
12380	2010-02-01	8	7210.65	7
16729	2011-04-01	21	7202.01	8
14688	2010-09-01	28	7190.42	15
16745	2011-02-01	17	7180.70	8
14800	2010-09-01	17	7180.08	12
14841	2009-12-01	14	7163.00	10
15950	2010-01-01	10	7120.91	9
14113	2009-12-01	16	7092.61	11
13451	2010-03-01	11	7088.92	11
15521	2010-01-01	16	7087.64	12
17231	2009-12-01	25	7064.80	20
17769	2010-01-01	17	7053.38	13
13183	2010-03-01	15	7036.18	14
17965	2009-12-01	29	7002.90	19
16938	2010-02-01	9	6995.36	8
17690	2010-02-01	20	6963.80	13
12841	2010-07-01	40	6958.20	18
13552	2010-02-01	22	6948.92	13
16265	2010-10-01	12	6935.17	9
16187	2011-02-01	15	6911.44	8
15301	2010-09-01	17	6909.67	12
12720	2010-07-01	29	6905.28	16
12749	2010-07-01	9	6897.36	7
16170	2010-02-01	20	6869.00	14
15129	2010-04-01	23	6860.18	15
18231	2010-01-01	28	6848.27	13
16401	2010-06-01	23	6847.45	16
12830	2011-06-01	6	6814.64	4
16145	2010-05-01	19	6805.44	16
15413	2009-12-01	5	6798.72	2
14401	2009-12-01	22	6795.90	15
13993	2009-12-01	19	6775.71	16
13983	2009-12-01	21	6753.89	17
13815	2010-02-01	8	6737.74	7
15321	2010-02-01	12	6709.73	6
14844	2010-04-01	10	6702.43	8
13734	2010-04-01	4	6695.69	2
16497	2009-12-01	23	6695.28	13
17975	2010-08-01	24	6693.03	14
13384	2010-07-01	11	6680.83	8
17700	2009-12-01	14	6679.97	13
14461	2010-01-01	13	6676.52	10
16717	2009-12-01	14	6663.68	9
17001	2010-03-01	19	6640.80	17
13953	2009-12-01	12	6640.68	12
14562	2010-02-01	26	6638.15	16
13394	2009-12-01	19	6621.70	18
15674	2009-12-01	12	6613.52	11
13831	2009-12-01	18	6585.54	12
13015	2010-04-01	11	6579.78	6
12836	2009-12-01	15	6559.73	14
15980	2010-06-01	7	6543.68	4
13883	2010-02-01	14	6535.37	10
14855	2010-04-01	7	6520.30	5
14221	2010-04-01	17	6517.49	13
12823	2010-01-01	18	6501.50	12
13317	2009-12-01	19	6486.09	13
12779	2009-12-01	14	6474.11	14
12843	2009-12-01	28	6461.87	14
14154	2010-01-01	8	6460.70	5
15750	2009-12-01	18	6452.99	12
16940	2009-12-01	8	6427.66	8
16655	2010-01-01	13	6423.26	12
12428	2011-03-01	8	6405.26	5
18094	2010-01-01	13	6391.52	8
12406	2010-01-01	5	6390.36	5
15514	2009-12-01	18	6388.28	9
14388	2010-01-01	16	6388.20	15
14766	2010-06-01	11	6375.73	11
14227	2010-02-01	15	6366.16	9
14702	2009-12-01	29	6356.98	20
13590	2009-12-01	18	6336.04	14
18245	2010-03-01	20	6324.98	12
13654	2009-12-01	11	6308.00	10
12913	2009-12-01	13	6283.24	11
12613	2009-12-01	9	6277.37	8
13136	2009-12-01	13	6274.56	9
13615	2010-01-01	8	6272.53	7
14004	2010-09-01	11	6258.45	7
15369	2009-12-01	11	6251.26	6
17799	2009-12-01	20	6246.93	15
18118	2010-11-01	29	6218.62	12
16735	2009-12-01	14	6217.41	10
15673	2010-02-01	9	6204.32	9
13334	2010-02-01	5	6201.80	5
16103	2010-01-01	22	6191.71	15
16156	2009-12-01	20	6188.18	16
14534	2010-03-01	26	6183.06	17
14390	2010-10-01	13	6150.03	8
17669	2010-04-01	10	6142.35	9
17873	2009-12-01	18	6135.95	14
13266	2009-12-01	19	6135.04	15
14852	2010-03-01	18	6132.43	12
12662	2010-04-01	20	6130.54	17
17419	2010-01-01	18	6126.25	14
14180	2010-06-01	33	6117.50	17
13935	2010-02-01	3	6116.92	3
14560	2009-12-01	44	6114.03	21
13230	2010-03-01	30	6109.51	18
18178	2010-02-01	11	6103.74	11
14530	2010-01-01	16	6088.87	14
18061	2009-12-01	28	6083.81	20
17509	2011-10-01	8	6083.64	1
16954	2010-01-01	20	6081.88	15
17644	2010-02-01	20	6028.60	16
13658	2010-02-01	9	6025.50	7
17819	2009-12-01	12	6021.05	10
15372	2010-02-01	8	6017.06	4
16456	2010-03-01	13	6000.94	11
12417	2009-12-01	20	5998.41	16
12835	2009-12-01	41	5996.83	11
12497	2010-03-01	3	5996.50	3
15755	2009-12-01	17	5993.12	15
14105	2009-12-01	5	5988.83	5
12712	2009-12-01	21	5985.03	18
17457	2009-12-01	14	5984.81	12
14440	2009-12-01	13	5982.03	11
17625	2009-12-01	8	5978.90	8
15785	2009-12-01	16	5969.93	12
14535	2010-02-01	9	5961.89	9
14918	2010-04-01	9	5955.81	8
12626	2011-01-01	9	5954.48	6
14257	2010-03-01	9	5954.45	9
16710	2009-12-01	22	5921.35	14
15971	2009-12-01	18	5897.88	11
17146	2010-02-01	13	5852.64	10
18065	2009-12-01	28	5846.63	14
12429	2010-06-01	8	5842.41	6
14112	2010-02-01	13	5834.59	9
12910	2010-03-01	13	5796.52	10
18075	2010-07-01	20	5783.29	13
17672	2010-01-01	7	5778.63	6
14099	2009-12-01	20	5750.91	17
16316	2010-08-01	13	5744.91	10
13771	2010-02-01	9	5728.82	6
12656	2010-05-01	8	5723.83	8
12455	2009-12-01	9	5722.95	9
13870	2010-02-01	15	5712.08	12
16607	2010-04-01	25	5706.87	17
17651	2010-07-01	16	5703.52	6
16279	2010-04-01	9	5698.28	9
16458	2010-05-01	30	5690.89	19
13157	2010-03-01	9	5687.36	8
13901	2010-01-01	15	5676.34	12
17491	2010-04-01	17	5653.67	14
16409	2009-12-01	12	5652.74	11
13722	2010-03-01	10	5635.41	6
16320	2010-01-01	6	5628.99	5
16003	2009-12-01	10	5613.83	8
12356	2010-10-01	6	5611.73	5
18145	2009-12-01	11	5609.74	11
16200	2009-12-01	12	5608.10	8
17838	2010-03-01	13	5604.64	9
16011	2009-12-01	29	5599.31	20
15228	2010-07-01	6	5580.27	6
15854	2009-12-01	21	5578.28	16
17203	2010-11-01	10	5564.09	3
12500	2010-02-01	18	5559.21	12
12484	2010-01-01	9	5557.10	8
14210	2010-01-01	16	5556.57	14
15299	2010-01-01	9	5556.53	6
15527	2009-12-01	23	5554.04	15
14907	2010-04-01	16	5547.72	8
14572	2010-03-01	11	5520.98	9
17069	2009-12-01	14	5517.23	9
14732	2009-12-01	19	5517.07	15
17092	2010-02-01	11	5511.41	10
17204	2010-06-01	9	5504.69	7
14189	2010-11-01	16	5503.15	13
13115	2010-04-01	10	5494.70	8
16609	2011-04-01	7	5493.46	5
13593	2010-03-01	14	5493.29	11
13769	2009-12-01	20	5478.12	16
16992	2010-02-01	13	5476.50	10
17512	2009-12-01	18	5467.82	12
17685	2010-02-01	12	5454.95	11
13520	2009-12-01	11	5446.00	11
18198	2011-01-01	17	5425.56	11
12664	2009-12-01	11	5420.04	9
12378	2010-05-01	2	5416.32	2
14626	2009-12-01	11	5410.92	11
14249	2010-01-01	12	5400.46	7
17719	2011-03-01	15	5396.04	8
17612	2009-12-01	18	5394.86	15
13362	2010-10-01	7	5394.07	6
13014	2010-10-01	11	5381.08	7
14459	2010-02-01	2	5375.74	2
14442	2010-01-01	7	5367.02	6
12615	2010-03-01	8	5362.98	7
17863	2010-02-01	12	5360.48	12
15641	2009-12-01	12	5345.55	10
16008	2010-03-01	15	5339.13	10
15628	2009-12-01	17	5333.08	15
13842	2010-02-01	18	5319.34	15
17584	2010-01-01	6	5309.42	6
16546	2010-09-01	5	5307.07	4
16393	2009-12-01	23	5297.77	17
15394	2009-12-01	11	5286.80	10
15152	2010-01-01	14	5263.83	7
13931	2009-12-01	11	5257.38	7
13975	2010-02-01	12	5256.40	10
13107	2010-02-01	9	5253.07	9
14930	2010-04-01	6	5236.73	5
12755	2010-01-01	11	5236.26	7
15722	2010-03-01	11	5234.00	8
17061	2011-04-01	11	5232.23	6
15606	2010-03-01	17	5230.99	13
13763	2010-09-01	3	5217.44	3
15812	2009-12-01	12	5201.47	12
14546	2009-12-01	11	5184.84	11
17663	2010-03-01	17	5175.83	13
15796	2010-03-01	17	5170.63	14
12633	2010-07-01	7	5156.16	7
17157	2009-12-01	19	5151.90	9
16153	2010-05-01	11	5133.49	9
16308	2009-12-01	7	5120.00	7
14713	2009-12-01	21	5115.36	17
15443	2010-03-01	14	5114.23	11
17861	2009-12-01	18	5088.29	12
14493	2010-03-01	10	5087.86	9
15367	2009-12-01	11	5081.33	8
17469	2009-12-01	17	5051.25	13
16931	2010-11-01	23	5032.22	14
17084	2010-11-01	3	5001.21	2
14209	2010-01-01	15	4993.27	14
15898	2009-12-01	25	4992.70	15
17346	2010-04-01	26	4991.41	16
13634	2010-01-01	15	4988.08	11
14639	2010-02-01	9	4978.96	7
13198	2010-10-01	8	4974.23	8
17758	2010-05-01	12	4964.03	8
17802	2009-12-01	10	4946.22	8
12347	2010-10-01	8	4921.53	8
14970	2010-02-01	12	4919.35	9
16919	2010-08-01	24	4909.66	9
12727	2010-02-01	10	4905.53	9
17314	2009-12-01	17	4904.43	14
18144	2009-12-01	19	4892.95	17
15332	2010-07-01	6	4892.68	3
12594	2010-03-01	14	4890.11	14
16986	2010-02-01	11	4888.75	5
13021	2009-12-01	17	4887.24	13
13659	2010-02-01	12	4884.68	10
16686	2009-12-01	16	4881.07	14
15379	2010-11-01	8	4877.84	6
14107	2009-12-01	11	4877.30	11
12688	2011-08-01	1	4873.81	1
17213	2009-12-01	13	4869.40	8
17652	2011-03-01	12	4867.72	7
14081	2009-12-01	10	4867.57	7
17449	2009-12-01	13	4865.15	12
17059	2010-01-01	9	4864.57	9
13495	2009-12-01	10	4863.31	8
13044	2010-01-01	11	4848.05	8
13562	2010-01-01	8	4838.18	7
17567	2010-09-01	9	4838.08	9
12480	2010-07-01	7	4834.85	7
14191	2009-12-01	15	4817.66	10
13875	2009-12-01	14	4814.37	13
15485	2009-12-01	7	4810.92	6
13329	2009-12-01	8	4808.77	6
15529	2010-11-01	12	4781.11	10
17519	2009-12-01	15	4774.17	15
15187	2011-05-01	15	4762.18	8
13988	2010-03-01	8	4757.80	8
12955	2011-03-01	11	4757.16	8
17829	2010-02-01	5	4756.74	4
12362	2011-02-01	10	4737.23	8
14825	2010-04-01	24	4735.08	17
17082	2009-12-01	6	4732.03	5
14235	2010-03-01	9	4717.99	7
13958	2009-12-01	8	4709.23	5
16905	2009-12-01	17	4704.27	14
15410	2010-04-01	10	4685.72	8
12625	2010-04-01	4	4678.88	4
13971	2010-01-01	14	4667.57	13
16904	2010-10-01	20	4656.56	12
15123	2010-03-01	5	4656.17	5
15484	2009-12-01	6	4652.10	6
17050	2010-01-01	11	4648.59	10
13124	2010-11-01	4	4641.66	4
18097	2009-12-01	11	4627.92	10
16326	2010-01-01	24	4626.25	16
17400	2009-12-01	8	4623.28	7
17442	2010-02-01	15	4620.30	12
12759	2009-12-01	8	4618.74	8
14441	2010-01-01	11	4611.69	10
15245	2010-04-01	8	4610.84	7
13851	2010-01-01	8	4606.46	6
17402	2009-12-01	22	4600.56	16
17188	2009-12-01	13	4592.93	10
18257	2010-02-01	12	4585.15	9
17508	2009-12-01	8	4579.23	8
15416	2010-02-01	7	4572.82	6
12708	2009-12-01	18	4559.66	16
13510	2009-12-01	11	4558.29	10
15365	2010-02-01	13	4557.13	6
16143	2009-12-01	12	4555.08	11
14032	2009-12-01	16	4546.41	12
17613	2011-02-01	14	4544.55	9
13527	2010-01-01	12	4541.29	9
13571	2009-12-01	26	4537.26	19
14685	2009-12-01	8	4536.64	5
13523	2010-11-01	6	4534.57	5
16255	2010-01-01	15	4530.00	14
15271	2010-08-01	24	4528.54	14
12700	2011-05-01	4	4525.99	4
14290	2009-12-01	8	4516.56	7
17308	2010-09-01	2	4511.76	2
15581	2009-12-01	34	4505.16	13
15764	2010-08-01	8	4503.08	6
14625	2009-12-01	11	4497.88	8
17596	2009-12-01	13	4491.46	12
15122	2010-03-01	11	4487.27	9
14701	2010-01-01	15	4487.11	9
18064	2010-02-01	11	4481.83	8
12916	2010-01-01	7	4479.73	7
13491	2009-12-01	27	4467.66	19
14648	2009-12-01	15	4463.39	9
16912	2009-12-01	15	4460.51	10
15240	2009-12-01	12	4459.98	11
18093	2010-03-01	8	4452.71	7
14341	2009-12-01	18	4452.02	11
17220	2010-01-01	21	4451.41	13
17754	2009-12-01	13	4451.22	11
18069	2010-02-01	11	4449.02	10
13435	2010-07-01	9	4447.33	8
12562	2010-09-01	9	4426.92	9
15845	2010-01-01	11	4426.28	10
17138	2010-02-01	7	4417.27	6
16626	2011-03-01	17	4413.10	8
16563	2009-12-01	6	4412.56	6
