stock_code	description	units_sold	orders	revenue
22629	SPACEBOY LUNCH BOX	16233	627	28411.29
71477	COLOUR GLASS. STAR T-LIGHT HOLDER	10028	314	28280.50
22178	VICTORIAN GLASS HANGING T-LIGHT	23544	647	27801.44
20727	LUNCH BAG  BLACK SKULL.	17981	1001	27775.85
84078A	SET/4 WHITE RETRO STORAGE CUBES	781	113	27685.95
22111	SCOTTIE DOG HOT WATER BOTTLE	6049	632	27593.55
22910	PAPER CHAIN KIT VINTAGE CHRISTMAS	10241	508	27397.67
22112	CHOCOLATE HOT WATER BOTTLE	5951	690	27052.49
82482	WOODEN PICTURE FRAME WHITE FINISH	11640	886	26648.25
82494L	WOODEN FRAME ANTIQUE WHITE	9742	914	26466.47
23284	DOORMAT KEEP CALM AND COME IN	3967	311	25535.89
48194	DOORMAT HEARTS	4504	358	25470.30
22469	HEART OF WICKER SMALL	14939	665	25295.24
20685	DOORMAT RED RETROSPOT	3955	423	25286.73
48185	DOORMAT FAIRY CAKE	4239	218	25125.43
21523	DOORMAT FANCY FONT HOME SWEET HOME	4208	336	25034.12
20728	LUNCH BAG CARS BLUE	16079	922	24913.03
84029E	RED WOOLLY HOTTIE WHITE HEART.	7242	501	24267.54
22630	DOLLY GIRL LUNCH BOX	13873	557	24218.59
22197	SMALL POPCORN HOLDER	32290	537	24145.80
23298	SPOTTY BUNTING	5259	484	23998.25
48187	DOORMAT NEW ENGLAND	4159	343	23935.49
22385	JUMBO BAG SPACEBOY DESIGN	13334	577	23890.23
21754	HOME BUILDING BLOCK WORD	4072	833	23701.16
20726	LUNCH BAG WOODLAND	15198	844	23650.06
22727	ALARM CLOCK BAKELIKE RED	6566	604	23423.59
22188	BLACK HEART CARD HOLDER	9257	219	23402.51
22328	ROUND SNACK BOXES SET OF 4 FRUITS	8527	550	23027.49
22699	ROSES REGENCY TEACUP AND SAUCER	8580	567	22947.20
22659	LUNCH BOX I LOVE LONDON	13195	453	22772.77
20725	LUNCH BAG RED RETROSPOT	14534	830	22753.50
20712	JUMBO BAG WOODLAND ANIMALS	12488	531	22742.98
22720	SET OF 3 CAKE TINS PANTRY DESIGN	4767	540	22436.25
22379	RECYCLING BAG RETROSPOT	11520	595	22261.88
21928	JUMBO BAG SCANDINAVIAN PAISLEY	12824	424	22055.80
21232	STRAWBERRY CERAMIC TRINKET BOX	19001	842	21956.21
22960	JAM MAKING SET WITH JARS	5520	408	21880.22
85066	CREAM SWEETHEART MINI CHEST	1887	325	21862.98
82486	WOOD S/3 CABINET ANT WHITE FINISH	2865	591	21788.35
20679	EDWARDIAN PARASOL RED	4849	369	21716.92
20914	SET/5 RED SPOTTY LID GLASS BOWLS	8014	485	21449.30
22114	HOT WATER BOTTLE TEA AND SYMPATHY	5507	614	21411.97
22138	BAKING SET 9 PIECE RETROSPOT	4426	539	20666.96
23199	JUMBO BAG APPLES	10987	414	20612.76
22467	GUMBALL COAT RACK	9128	507	20429.33
85152	HAND OVER THE CHOCOLATE   SIGN	11008	634	20327.73
22457	NATURAL SLATE HEART CHALKBOARD	7196	604	19988.72
20725	LUNCH BAG RED SPOTTY	12860	591	19774.20
82483	WOOD 2 DRAWER CABINET WHITE FINISH	3440	566	19549.92
21977	PACK OF 60 PINK PAISLEY CAKE CASES	41826	773	19542.05
22752	SET 7 BABUSHKA NESTING BOXES	2490	305	19472.59
23245	SET OF 3 REGENCY CAKE TINS	4356	378	19379.88
47590B	PINK HAPPY BIRTHDAY BUNTING	3910	352	19303.50
85099B	JUMBO BAG RED WHITE SPOTTY	10936	254	18885.00
22666	RECIPE BOX PANTRY YELLOW DESIGN	6673	588	18683.87
22726	ALARM CLOCK BAKELIKE GREEN	5024	570	18583.21
22197	POPCORN HOLDER	24838	315	18573.66
22382	LUNCH BAG SPACEBOY DESIGN	11642	920	18444.90
23243	SET OF TEA COFFEE SUGAR TINS PANTRY	3904	200	18434.38
82583	HOT BATHS METAL SIGN	9569	447	18360.84
23173	REGENCY TEAPOT ROSES	2152	197	18257.22
23201	JUMBO BAG ALPHABET	9484	420	17994.72
84991	60 TEATIME FAIRY CAKE CASES	37088	841	17419.08
22507	MEMO BOARD RETROSPOT  DESIGN	4050	312	17362.54
22386	JUMBO BAG PINK WITH WHITE SPOTS	9966	381	17310.60
15036	ASSORTED COLOURS SILK FAN	24488	307	17288.48
48138	DOOR MAT UNION FLAG	2698	331	17038.28
22865	HAND WARMER OWL DESIGN	8594	444	17036.53
21930	JUMBO STORAGE BAG SKULLS	9335	572	16985.02
47566B	TEA TIME PARTY BUNTING	4001	342	16867.75
82600	NO SINGING METAL SIGN	8629	545	16761.90
20971	PINK BLUE FELT CRAFT TRINKET BOX	14944	455	16698.22
22728	ALARM CLOCK BAKELIKE PINK	4537	396	16527.98
84077	WORLD WAR 2 GLIDERS ASSTD DESIGNS	75586	413	16460.16
37503	TEA TIME CAKE STAND IN GIFT BOX	1681	252	16390.75
48184	DOORMAT ENGLISH ROSE	2653	236	16370.13
22492	MINI PAINT SET VINTAGE	26742	287	16360.54
47590A	BLUE HAPPY BIRTHDAY BUNTING	3293	291	16142.87
22087	PAPER BUNTING WHITE LACE	5935	396	16104.20
21481	FAWN BLUE HOT WATER BOTTLE	5681	436	16042.83
21485	RETROSPOT HEART HOT WATER BOTTLE	3461	376	16020.83
21755	LOVE BUILDING BLOCK WORD	2699	633	15793.31
48188	DOORMAT WELCOME PUPPIES	2885	169	15632.31
84755	COLOUR GLASS T-LIGHT HOLDER HANGING	26438	522	15538.46
21108	FAIRY CAKE FLANNEL ASSORTED COLOUR	7806	88	15478.01
21212	PACK OF 72 RETRO SPOT CAKE CASES	33151	606	15468.73
20711	JUMBO BAG TOYS	8775	372	15391.38
22722	SET OF 6 SPICE TINS PANTRY DESIGN	4030	316	15313.10
23202	JUMBO BAG VINTAGE LEAF	7947	414	15305.71
21212	PACK OF 72 RETROSPOT CAKE CASES	32844	660	15237.85
23203	JUMBO BAG VINTAGE DOILY	7954	318	15212.12
22077	6 RIBBONS RUSTIC CHARM	9075	623	15165.29
22171	3 HOOK PHOTO SHELF ANTIQUE WHITE	2236	251	15163.12
22866	HAND WARMER SCOTTY DOG DESIGN	7688	360	15104.76
22697	GREEN REGENCY TEACUP AND SAUCER	5480	492	14960.64
22551	PLASTERS IN TIN SPACEBOY	9609	460	14941.05
84406B	CREAM CUPID HEARTS COAT HANGER	4739	390	14885.05
22090	PAPER BUNTING RETROSPOT	5526	345	14864.54
22622	BOX OF VINTAGE ALPHABET BLOCKS	1593	193	14852.66
21314	SMALL GLASS HEART TRINKET POT	7666	325	14820.16
22083	PAPER CHAIN KIT RETRO SPOT	5597	249	14774.25
22090	PAPER BUNTING RETRO SPOTS	5479	312	14657.05
84029G	KNITTED UNION FLAG HOT WATER BOTTLE	4084	364	14586.38
22149	FELTCRAFT 6 FLOWER FRIENDS	7515	449	14584.39
22961	JAM MAKING SET PRINTED	10455	418	14539.15
71459	HANGING JAM JAR T-LIGHT HOLDER	18848	399	14334.44
22624	IVORY KITCHEN SCALES	1750	486	14308.08
22139	RETROSPOT TEA SET CERAMIC 11 PC	3019	424	14269.63
22383	LUNCH BAG SUKI  DESIGN	9089	539	14254.85
20914	SET/5 RED RETROSPOT LID GLASS BOWLS	5080	508	14158.88
20972	PINK CREAM FELT CRAFT TRINKET BOX	12207	545	14102.99
22570	FELTCRAFT CUSHION RABBIT	4004	287	13998.47
72741	GRAND CHOCOLATECANDLE	10639	291	13849.75
85150	LADIES & GENTLEMEN METAL SIGN	5965	477	13654.23
22867	HAND WARMER BIRD DESIGN	6909	346	13637.23
22698	PINK REGENCY TEACUP AND SAUCER	5013	396	13533.19
21213	PACK OF 72 SKULL CAKE CASES	29571	569	13469.73
23203	JUMBO BAG DOILEY PATTERNS	7033	270	13257.14
22605	WOODEN CROQUET GARDEN SET	1133	248	13255.06
23206	LUNCH BAG APPLE DESIGN	8485	490	13236.25
48173C	DOORMAT BLACK FLOCK	2498	143	13176.93
84946	ANTIQUE SILVER TEA GLASS ETCHED	11664	358	13170.96
22569	FELTCRAFT CUSHION BUTTERFLY	3830	274	13156.24
22273	FELTCRAFT DOLL MOLLY	5084	270	13149.08
22734	SET OF 6 RIBBONS VINTAGE CHRISTMAS	5776	218	13145.42
21524	DOORMAT SPOTTY HOME SWEET HOME	1874	312	13125.23
37449	CERAMIC CAKE STAND + HANGING CAKES	1504	194	13087.43
22941	CHRISTMAS LIGHTS 10 REINDEER	1699	183	13035.70
21908	CHOCOLATE THIS WAY METAL SIGN	6960	373	13021.64
22554	PLASTERS IN TIN WOODLAND ANIMALS	8236	433	12901.48
22501	PICNIC BASKET WICKER LARGE	1455	222	12900.80
23355	HOT WATER BOTTLE KEEP CALM	2864	297	12794.40
21936	RED RETROSPOT PICNIC BAG	4639	399	12706.61
22693	GROW A FLYTRAP OR SUNFLOWER IN TIN	12337	103	12685.97
21877	HOME SWEET HOME MUG	11690	392	12564.86
79323W	WHITE CHERRY LIGHTS	2148	185	12421.60
22568	FELTCRAFT CUSHION OWL	3486	321	12328.15
21622	VINTAGE UNION JACK CUSHION COVER	2254	248	12243.62
22969	HOMEMADE JAM SCENTED CANDLES	8489	194	12208.45
21231	SWEETHEART CERAMIC TRINKET BOX	10533	547	12205.18
22835	HOT WATER BOTTLE I AM SO POORLY	2671	362	12156.63
22169	FAMILY ALBUM WHITE PICTURE FRAME	1549	329	12105.64
20685	DOOR MAT RED SPOT	2009	212	12061.35
21164	HOME SWEET HOME METAL SIGN	4540	317	12056.44
22585	PACK OF 6 BIRDY GIFT TAGS	10397	375	12049.18
22558	CLOTHES PEGS RETROSPOT PACK 24	8960	491	12006.92
22061	LARGE CAKE STAND  HANGING STRAWBERY	1489	217	11970.30
21174	POTTERING IN THE SHED METAL SIGN	6307	419	11947.78
22084	PAPER CHAIN KIT EMPIRE	4408	314	11920.40
DOT	DOTCOM POSTAGE	16	16	11906.36
84992	72 SWEETHEART FAIRY CAKE CASES	26022	565	11903.77
22625	RED KITCHEN SCALES	1468	389	11858.83
21843	RETRO SPOT CAKE STAND	1129	164	11800.55
22690	DOORMAT HOME SWEET HOME BLUE	2029	211	11781.45
21218	RED SPOTTY BISCUIT TIN	3440	330	11770.20
22139	RETRO SPOT TEA SET CERAMIC 11 PC	2625	269	11761.42
22158	3 HEARTS HANGING DECORATION RUSTIC	4268	221	11750.76
22384	LUNCH BAG PINK POLKADOT	7438	548	11743.10
21928	JUMBO BAG SCANDINAVIAN BLUE PAISLEY	6269	264	11645.34
35004C	SET OF 3 COLOURED  FLYING DUCKS	2469	136	11610.45
22556	PLASTERS IN TIN CIRCUS PARADE	7293	455	11610.41
15044A	PINK PAPER PARASOL	4487	103	11603.13
21559	STRAWBERRY LUNCH BOX WITH CUTLERY	4980	485	11592.44
22041	RECORD FRAME 7" SINGLE SIZE	5295	215	11589.87
84978	HANGING HEART JAR T-LIGHT HOLDER	10185	450	11527.83
84836	ZINC METAL HEART DECORATION	9831	455	11501.22
82582	AREA PATROLLED METAL SIGN	5869	406	11490.92
22456	NATURAL SLATE CHALKBOARD LARGE	2708	237	11394.96
21790	VINTAGE SNAP CARDS	14775	563	11304.49
22505	MEMO BOARD COTTAGE DESIGN	2522	295	11255.84
84970S	HANGING HEART ZINC T-LIGHT HOLDER	14967	497	11235.42
21479	WHITE SKULL HOT WATER BOTTLE	3057	336	11173.35
84949	SILVER HANGING T-LIGHT HOLDER	7356	262	11167.80
22837	HOT WATER BOTTLE BABUSHKA	2505	218	11101.85
48116	DOORMAT MULTICOLOUR STRIPE	2081	108	11090.76
22607	WOODEN ROUNDERS GARDEN SET	1298	245	11079.42
21165	BEWARE OF THE CAT METAL SIGN	7286	449	11049.74
21791	VINTAGE HEADS AND TAILS CARD GAME	9519	379	10948.13
85014B	RED/WHITE DOTS RUFFLED UMBRELLA	2738	194	10875.50
21527	RED RETROSPOT TRADITIONAL TEAPOT	1609	260	10835.59
84997D	PINK 3 PIECE MINI DOTS CUTLERY SET	3059	230	10821.81
84050	PINK HEART SHAPE EGG FRYING PAN	7923	314	10729.43
22113	GREY HEART HOT WATER BOTTLE	2921	365	10712.72
22900	SET 2 TEA TOWELS I LOVE LONDON	3865	211	10635.25
20749	ASSORTED COLOUR MINI CASES	1531	301	10630.49
21430	SET/3 RED GINGHAM ROSE STORAGE BOX	3071	276	10612.41
20719	WOODLAND CHARLOTTE BAG	13656	605	10595.29
22147	FELTCRAFT BUTTERFLY HEARTS	7944	405	10574.80
22555	PLASTERS IN TIN STRONGMAN	6608	329	10513.64
84997D	CHILDRENS CUTLERY POLKADOT PINK	2724	166	10509.30
23344	JUMBO BAG 50'S CHRISTMAS	5368	246	10423.84
22662	LUNCH BAG DOLLY GIRL DESIGN	6701	433	10412.09
21770	OPEN CLOSED METAL SIGN	2182	238	10392.51
48111	DOORMAT 3 SMILEY CATS	1865	165	10337.19
47556B	TEA TIME TEA TOWELS	4081	210	10293.95
21975	PACK OF 60 DINOSAUR CAKE CASES	22455	534	10246.11
84997B	RED 3 PIECE MINI DOTS CUTLERY SET	2855	244	10150.83
22365	DOORMAT RESPECTABLE HOUSE	1696	151	9990.48
22294	HEART FILIGREE DOVE  SMALL	8500	260	9986.60
22383	LUNCH BAG SUKI DESIGN	6281	476	9986.05
22847	BREAD BIN DINER STYLE IVORY	656	220	9984.44
21704	BAG 250g SWIRLY MARBLES	13454	206	9970.28
22652	TRAVEL SEWING KIT	6327	321	9866.91
17003	BROCADE RING PURSE	49218	136	9864.18
22730	ALARM CLOCK BAKELIKE IVORY	2625	344	9854.00
79323P	PINK CHERRY LIGHTS	1696	140	9816.20
85014B	RED RETROSPOT UMBRELLA	1812	197	9769.17
22993	SET OF 4 PANTRY JELLY MOULDS	8229	457	9740.10
72760B	VINTAGE CREAM 3 BASKET CAKE STAND	1081	188	9713.51
85014A	BLACK/BLUE DOTS RUFFLED UMBRELLA	2535	155	9703.65
21169	YOU'RE CONFUSING ME METAL SIGN	6397	284	9702.13
C2	CARRIAGE	191	191	9685.00
48129	DOORMAT TOPIARY	1697	144	9664.09
22413	METAL SIGN TAKE IT OR LEAVE IT	3586	314	9640.42
71053	WHITE METAL LANTERN	2743	302	9629.11
84997C	BLUE 3 PIECE MINI DOTS CUTLERY SET	2683	236	9567.33
21871	SAVE THE PLANET MUG	8780	350	9556.77
21955	DOORMAT UNION JACK GUNS AND ROSES	1805	140	9540.55
23200	JUMBO BAG PEARS	4980	247	9514.60
21094	SET/6 RED SPOTTY PAPER PLATES	13373	372	9507.69
22366	DOORMAT AIRMAIL	1616	176	9463.62
22560	TRADITIONAL MODELLING CLAY	8234	274	9444.73
22170	PICTURE FRAME WOOD TRIPLE PORTRAIT	1520	258	9422.50
21340	CLASSIC METAL BIRDCAGE PLANT HOLDER	942	159	9416.71
22352	LUNCH BOX WITH CUTLERY RETROSPOT	4030	383	9378.49
22191	IVORY DINER WALL CLOCK	1163	251	9361.90
22083	PAPER CHAIN KIT RETROSPOT	3377	272	9331.71
23108	SET OF 10 LED DOLLY LIGHTS	1575	162	9262.68
22193	RED DINER WALL CLOCK	1123	337	9189.09
21484	CHICK GREY HOT WATER BOTTLE	2728	341	9151.62
23174	REGENCY SUGAR BOWL GREEN	2346	154	9101.64
22150	3 STRIPEY MICE FELTCRAFT	5215	329	9069.25
22617	BAKING SET SPACEBOY DESIGN	1976	271	9068.46
22384	LUNCH BAG PINK RETROSPOT	5751	370	9005.15
21217	RED RETROSPOT ROUND CAKE TINS	959	186	8921.05
22424	ENAMEL BREAD BIN CREAM	754	269	8919.35
22557	PLASTERS IN TIN VINTAGE PAISLEY	5756	316	8916.64
22692	DOORMAT WELCOME TO OUR HOME	1392	232	8914.28
21258	VICTORIAN SEWING BOX LARGE	760	187	8905.68
85042	ANTIQUE LILY FAIRY LIGHTS	1984	163	8880.00
21217	RED SPOTTY ROUND CAKE TINS	941	218	8849.95
21380	WOODEN HAPPY BIRTHDAY GARLAND	3206	215	8840.70
22632	HAND WARMER RED RETROSPOT	4493	247	8818.02
23207	LUNCH BAG ALPHABET DESIGN	5547	364	8737.51
22561	WOODEN SCHOOL COLOURING SET	5562	336	8733.42
22499	WOODEN UNION JACK BUNTING	1526	244	8715.23
21672	WHITE SPOT RED CERAMIC DRAWER KNOB	7334	387	8611.30
22207	FRYING PAN UNION FLAG	2185	154	8495.61
84375	SET OF 20 KIDS COOKIE CUTTERS	4282	319	8445.42
48187	DOOR MAT NEW ENGLAND	1370	198	8429.98
21891	TRADITIONAL WOODEN SKIPPING ROPE	7020	202	8400.80
21906	PHARMACIE FIRST AID TIN	1239	141	8386.45
22616	PACK OF 12 LONDON TISSUES	29947	316	8349.29
84378	SET OF 3 HEART COOKIE CUTTERS	6698	415	8338.59
84945	MULTI COLOUR SILVER T-LIGHT HOLDER	10803	199	8334.21
21914	BLUE HARMONICA IN BOX	6674	356	8313.67
21259	VICTORIAN SEWING BOX SMALL	1466	286	8311.21
21669	BLUE STRIPE CERAMIC DRAWER KNOB	6916	399	8298.64
22606	WOODEN SKITTLES GARDEN SET	656	127	8297.84
21428	SET3 BOOK BOX GREEN GINGHAM FLOWER	2182	178	8296.30
84212	ASSORTED FLOWER COLOUR "LEIS"	17465	155	8238.97
22502	PICNIC BASKET WICKER SMALL	1664	262	8214.20
22088	PAPER BUNTING COLOURED LACE	3052	278	8210.20
21156	RETROSPOT CHILDRENS APRON	4695	236	8201.47
84970L	SINGLE HEART ZINC T-LIGHT HOLDER	9098	336	8173.72
22838	3 TIER CAKE TIN RED AND CREAM	620	87	8171.38
21889	WOODEN BOX OF DOMINOES	6743	336	8134.16
22355	CHARLOTTE BAG SUKI DESIGN	10320	509	8110.30
21982	PACK OF 12 SUKI TISSUES	25732	238	8108.08
22988	SOLDIERS EGG CUP	7187	170	8107.72
15056P	EDWARDIAN PARASOL PINK	1771	172	8096.06
22952	60 CAKE CASES VINTAGE CHRISTMAS	16621	324	7990.27
22635	CHILDS BREAKFAST SET DOLLY GIRL	883	178	7963.70
21668	RED STRIPE CERAMIC DRAWER KNOB	6646	382	7956.78
20723	STRAWBERRY CHARLOTTE BAG	10018	586	7952.40
22846	BREAD BIN DINER STYLE RED	528	167	7946.16
21524	DOOR MAT SPOTTY HOME SWEET HOME	1429	142	7942.59
22654	DELUXE SEWING KIT	1425	215	7922.27
22729	ALARM CLOCK BAKELIKE ORANGE	2159	292	7907.94
21080	SET/20 RED RETROSPOT PAPER NAPKINS	10354	452	7900.44
22631	CIRCUS PARADE LUNCH BOX	4365	262	7855.13
47599A	PINK PARTY BAGS	4391	141	7841.78
48185	DOOR MAT FAIRY CAKE	1283	170	7840.63
21673	WHITE SPOT BLUE CERAMIC DRAWER KNOB	6667	337	7822.87
22943	CHRISTMAS LIGHTS 10 VINTAGE BAUBLES	1708	150	7776.78
22173	METAL 4 HOOK HANGER FRENCH CHATEAU	2823	327	7769.87
48111	DOOR MAT 3 SMILEY CATS	1468	136	7758.44
84997C	CHILDRENS CUTLERY POLKADOT BLUE	2006	107	7739.30
22759	SET OF 3 NOTEBOOKS IN PARCEL	4964	196	7729.20
23209	LUNCH BAG DOILEY PATTERN	4903	274	7725.95
23356	LOVE HOT WATER BOTTLE	1410	184	7702.50
20750	RED RETROSPOT MINI CASES	1092	200	7667.00
21080	SET/20 RED SPOTTY PAPER NAPKINS	10608	389	7658.52
22940	FELTCRAFT CHRISTMAS FAIRY	1894	211	7654.18
75049L	LARGE CIRCULAR MIRROR MOBILE	8732	118	7651.00
20750	RED/WHITE DOT MINI CASES	1100	203	7650.68
22192	BLUE DINER WALL CLOCK	930	312	7644.28
22633	HAND WARMER UNION JACK	3882	263	7631.16
21485	RED SPOT HEART HOT WATER BOTTLE	1664	229	7626.40
20724	RED RETROSPOT CHARLOTTE BAG	9731	476	7608.35
85048	15CM CHRISTMAS GLASS BALL 20 LIGHTS	1043	142	7588.85
62018	SOMBRERO	5874	68	7559.50
22271	FELTCRAFT DOLL ROSIE	2781	291	7544.81
84997B	CHILDRENS CUTLERY RETROSPOT RED	1975	126	7515.73
22667	RECIPE BOX RETROSPOT	2743	332	7491.85
22627	MINT KITCHEN SCALES	913	290	7485.49
21844	RED RETROSPOT MUG	2762	156	7468.70
22663	JUMBO BAG DOLLY GIRL DESIGN	3992	293	7456.76
23170	REGENCY TEA PLATE ROSES	4858	188	7424.94
22634	CHILDS BREAKFAST SET SPACEBOY	819	185	7413.90
21671	RED SPOT CERAMIC DRAWER KNOB	6267	351	7410.79
84380	SET OF 3 BUTTERFLY COOKIE CUTTERS	6126	388	7373.71
22909	SET OF 20 VINTAGE CHRISTMAS NAPKINS	9682	352	7349.50
22468	BABUSHKA LIGHTS STRING OF 10	1193	204	7337.49
47567B	TEA TIME KITCHEN APRON	1434	146	7322.02
21210	SET OF 72 RETROSPOT PAPER  DOILIES	5270	242	7312.27
72351B	SET/6 PINK  BUTTERFLY T-LIGHTS	4003	188	7285.36
21535	RED RETROSPOT SMALL MILK JUG	3106	335	7266.90
23208	LUNCH BAG VINTAGE LEAF DESIGN	4554	335	7249.30
21937	STRAWBERRY   PICNIC BAG	2638	266	7222.10
23209	LUNCH BAG VINTAGE DOILY	4518	285	7199.66
22766	PHOTO FRAME CORNICE	2501	236	7170.83
21390	FILIGRIS HEART WITH BUTTERFLY	6075	217	7165.39
22655	VINTAGE RED KITCHEN CABINET	41	28	7165.00
85099B	RED RETROSPOT JUMBO BAG	4176	100	7153.20
22297	HEART IVORY TRELLIS SMALL	5990	214	7150.34
21260	FIRST AID TIN	2256	182	7127.10
22978	PANTRY ROLLING PIN	1850	89	7104.17
22950	36 DOILIES VINTAGE CHRISTMAS	5299	108	7073.95
21086	SET/6 RED SPOTTY PAPER CUPS	12015	334	7056.87
21210	SET OF 72 RETRO SPOT PAPER  DOILIES	5113	244	7029.85
22131	FOOD CONTAINER SET 3 LOVE HEART	4033	233	7028.77
22427	ENAMEL FLOWER JUG CREAM	1223	272	7007.03
23175	REGENCY MILK JUG PINK	2416	155	6981.50
22637	PIGGY BANK RETROSPOT	2923	229	6975.77
48184	DOOR MAT ENGLISH ROSE	1105	148	6967.53
22303	COFFEE MUG APPLES DESIGN	3188	217	6947.05
20969	RED FLORAL FELTCRAFT SHOULDER BAG	1952	209	6931.11
22109	FULL ENGLISH BREAKFAST PLATE	1931	191	6917.01
23301	GARDENERS KNEELING PAD KEEP CALM	4249	309	6877.33
21035	SET/2 RED RETROSPOT TEA TOWELS	2426	155	6868.26
22749	FELTCRAFT PRINCESS CHARLOTTE DOLL	1905	263	6840.13
47570B	TEA TIME TABLE CLOTH	739	105	6840.03
85220	SMALL FAIRY CAKE FRIDGE MAGNETS	12212	4	6835.40
23171	REGENCY TEA PLATE GREEN	4502	153	6826.90
22198	LARGE POPCORN HOLDER	4343	236	6819.15
22804	CANDLEHOLDER PINK HANGING HEART	2470	223	6813.30
21136	PAINTED METAL PEARS ASSORTED	4225	205	6809.93
48194	DOOR MAT HEARTS	1247	125	6801.83
84997D	PINK 3 PIECE POLKADOT CUTLERY SET	1907	113	6755.73
21670	BLUE SPOT CERAMIC DRAWER KNOB	5602	346	6750.38
23313	VINTAGE CHRISTMAS BUNTING	1452	142	6704.92
22295	HEART FILIGREE DOVE LARGE	4221	222	6686.37
22636	CHILDS BREAKFAST SET CIRCUS PARADE	840	189	6683.08
22417	PACK OF 60 SPACEBOY CAKE CASES	13897	404	6678.79
22970	LONDON BUS COFFEE MUG	3028	123	6673.80
21787	RAIN PONCHO RETROSPOT	8498	116	6602.18
22381	TOY TIDY PINK POLKADOT	3395	217	6573.18
21216	SET 3 RETROSPOT TEA,COFFEE,SUGAR	1471	143	6551.37
22296	HEART IVORY TRELLIS LARGE	4163	219	6550.63
20829	GLITTER HANGING BUTTERFLY STRING	3358	183	6532.19
21121	SET/10 RED POLKADOT PARTY CANDLES	5543	203	6490.99
22584	PACK OF 6 PANNETONE GIFT BOXES	2689	168	6489.88
22236	CAKE STAND 3 TIER MAGIC GARDEN	546	151	6479.10
84997B	RED 3 PIECE RETROSPOT CUTLERY SET	1809	121	6469.99
79323LP	LIGHT PINK CHERRY LIGHTS	1122	93	6455.50
85232B	SET/3 RUSSIAN DOLL STACKING TINS	1365	188	6454.35
84792	ENCHANTED BIRD COATHANGER 5 HOOK	1570	231	6432.50
21172	PARTY METAL SIGN	4696	372	6427.32
84988	SET OF 72 PINK HEART PAPER DOILIES	4551	290	6378.00
21624	VINTAGE UNION JACK DOORSTOP	1096	117	6354.68
22333	RETROSPOT PARTY BAG + STICKER SET	4154	185	6281.38
22768	FAMILY PHOTO FRAME CORNICE	709	129	6280.44
84880	WHITE WIRE EGG HOLDER	1164	173	6249.15
21558	SKULL LUNCH BOX WITH CUTLERY	2670	272	6222.60
22834	HAND WARMER BABUSHKA DESIGN	4384	201	6214.43
22646	CERAMIC STRAWBERRY CAKE MONEY BANK	4794	297	6190.50
22904	CALENDAR PAPER CUT DESIGN	2200	186	6175.04
21888	BINGO SET	1683	222	6156.33
82552	WASHROOM METAL SIGN	4567	273	6155.26
82001S	VINYL RECORD FRAME SILVER	1795	93	6146.83
21922	UNION STRIPE WITH FRINGE  HAMMOCK	819	167	6121.09
23134	LARGE ZINC HEART WALL ORGANISER	1027	20	6118.83
22302	COFFEE MUG PEARS  DESIGN	3210	153	6114.31
22619	SET OF 6 SOLDIER SKITTLES	1621	196	6094.90
